episode,total_reward,avg_reward_per_step,actor_loss,critic_loss,entropy,avg_queue
0,-576.4444444444442,-2.882222222222221,-4.9292179028270766e-05,2686.546142578125,0.6916650533676147,25.94
1,-687.9999999999999,-3.4399999999999995,-0.00013295531971380115,4040.92431640625,0.6877919435501099,30.96
2,-667.5555555555555,-3.3377777777777777,-9.148663957603276e-05,3538.8818359375,0.6874658465385437,30.04
3,-625.7777777777779,-3.1288888888888895,6.95480230206158e-06,3113.489990234375,0.6872198581695557,28.16
4,-623.1111111111112,-3.115555555555556,-1.3908545042795595e-05,3156.635986328125,0.6870757341384888,28.04
5,-695.5555555555554,-3.477777777777777,-4.591703327605501e-05,3977.054443359375,0.686673641204834,31.3
6,-669.3333333333335,-3.3466666666666676,1.677049476711545e-05,3698.5244140625,0.6865751147270203,30.12
7,-594.2222222222222,-2.971111111111111,-2.936065175163094e-05,2715.958740234375,0.6865027546882629,26.74
8,-565.7777777777775,-2.8288888888888875,-0.0001355612330371514,2560.148193359375,0.6862205266952515,25.46
9,-575.1111111111111,-2.8755555555555556,-1.1050436114601325e-05,2673.82470703125,0.6856700778007507,25.88
10,-547.5555555555553,-2.7377777777777768,1.56734386109747e-05,2310.9287109375,0.6855877637863159,24.64
11,-561.3333333333334,-2.8066666666666666,-6.542603046000295e-07,2550.841796875,0.6854067444801331,25.26
12,-864.8888888888894,-4.324444444444447,-2.3410718767991057e-06,6280.2119140625,0.6847602725028992,38.92
13,-662.6666666666666,-3.313333333333333,-1.7120970369433053e-05,3492.96728515625,0.6857733726501465,29.82
14,-575.1111111111112,-2.875555555555556,-7.260713027790189e-05,2556.85986328125,0.6859033107757568,25.88
15,-633.7777777777778,-3.168888888888889,-4.773497494170442e-05,3342.7802734375,0.685724675655365,28.52
16,-673.7777777777774,-3.368888888888887,-0.00013315537944436073,3798.771240234375,0.6858627200126648,30.32
17,-593.3333333333329,-2.9666666666666646,-0.00021388968161772937,2856.016357421875,0.6851049065589905,26.7
18,-730.6666666666666,-3.6533333333333333,1.5823046624063863e-06,4372.087890625,0.6844213604927063,32.88
19,-621.7777777777777,-3.1088888888888886,3.997789463028312e-05,3129.177734375,0.6843827366828918,27.98
20,-655.5555555555553,-3.277777777777777,-3.500382035781513e-06,3430.4921875,0.6843757033348083,29.5
21,-589.7777777777778,-2.9488888888888893,-4.16669581682072e-06,2685.666015625,0.6846486926078796,26.54
22,-686.2222222222223,-3.4311111111111114,-1.039690414472716e-05,4024.511474609375,0.6840294599533081,30.88
23,-651.1111111111112,-3.255555555555556,-2.242048503831029e-05,3388.2763671875,0.6846571564674377,29.3
24,-640.8888888888891,-3.2044444444444458,1.7894639370297227e-07,3351.580078125,0.6843523979187012,28.84
25,-632.8888888888887,-3.1644444444444435,-7.908807674539275e-06,3353.91650390625,0.6849164366722107,28.48
26,-671.5555555555561,-3.3577777777777804,-1.9438532035565004e-05,3538.821533203125,0.6845613718032837,30.22
27,-464.8888888888888,-2.324444444444444,7.1553390625922475e-06,1676.420166015625,0.6845554113388062,20.92
28,-484.44444444444446,-2.4222222222222225,-5.67489178138203e-06,1874.4107666015625,0.6846797466278076,21.8
29,-585.3333333333335,-2.9266666666666676,-4.593988342094235e-05,2808.27001953125,0.6843081116676331,26.34
30,-685.3333333333334,-3.4266666666666667,-0.00011444264237070456,3773.094482421875,0.684017539024353,30.84
31,-592.4444444444446,-2.962222222222223,1.6105075701489113e-05,2955.0380859375,0.683578372001648,26.66
32,-624.4444444444448,-3.122222222222224,-1.4807781099079875e-06,3239.747802734375,0.6835466623306274,28.1
33,-669.3333333333331,-3.346666666666666,-8.321530185639858e-05,3677.718017578125,0.6832796931266785,30.12
34,-608.4444444444445,-3.042222222222222,-0.0001457402395317331,2883.968505859375,0.6826260089874268,27.38
35,-721.7777777777777,-3.6088888888888886,-6.428076449083164e-05,4420.1689453125,0.6822977066040039,32.48
36,-656.444444444445,-3.282222222222225,-9.960068564396352e-05,3403.889892578125,0.6816492080688477,29.54
37,-625.3333333333336,-3.126666666666668,8.814732609607745e-06,3074.841796875,0.6812147498130798,28.14
38,-550.6666666666666,-2.753333333333333,3.646413460955955e-06,2285.78759765625,0.6812488436698914,24.78
39,-641.7777777777777,-3.2088888888888887,-0.00011330942652421072,3187.56689453125,0.6803771257400513,28.88
40,-526.6666666666669,-2.633333333333334,-9.94563743006438e-05,2215.797119140625,0.6805741786956787,23.7
41,-563.1111111111112,-2.815555555555556,3.98613337893039e-05,2654.974365234375,0.6794300079345703,25.34
42,-750.2222222222222,-3.751111111111111,1.8709897631197236e-06,4625.98681640625,0.6787546873092651,33.76
43,-516.8888888888888,-2.584444444444444,-1.3040171324973926e-05,2046.415283203125,0.6790526509284973,23.26
44,-647.9999999999997,-3.2399999999999984,-1.7854902125691297e-06,3210.953857421875,0.6791490912437439,29.16
45,-546.2222222222223,-2.7311111111111113,-1.618974783923477e-05,2368.0927734375,0.6788453459739685,24.58
46,-701.3333333333335,-3.5066666666666673,-8.605400944361463e-05,3856.949951171875,0.6789487600326538,31.56
47,-620.4444444444441,-3.1022222222222204,2.6807652830029838e-05,2880.76025390625,0.6786131858825684,27.92
48,-677.7777777777777,-3.3888888888888884,7.318125483379845e-08,3777.870361328125,0.678351640701294,30.5
49,-632.8888888888887,-3.1644444444444435,-6.869104254292324e-07,3370.120361328125,0.6775985956192017,28.48
